Epochs,val_loss,val_auprc,val_auroc,val_acc,loss,auprc,auroc,acc
0,0.6846061611932247,0.16522164568366823,0.729755093367392,0.5782099679438871,0.9057666419846533,0.2256879799743579,0.4776262795452785,0.29591058914147267
1,0.2805963744590714,0.1037697972744739,0.6406945495534853,0.9885703708589522,0.6433054752721682,0.11740867258564058,0.6377806564954323,0.6484632927329219
2,0.2283877676120679,0.08558350063483389,0.6212981383540529,0.9885703708589522,0.5568045608761772,0.09184693884419583,0.6191755245111604,0.7548895196046265
3,0.24871027949171565,0.07915342719884652,0.630130091184009,0.9865425409166613,0.5255393690193308,0.08207855827998534,0.6259984153008019,0.7614935211702928
4,0.1329799979599177,0.07969187445446185,0.6551246153768806,0.9886010952613671,0.4839739116324608,0.07939825843615612,0.639202398502315,0.7769875474196568
5,0.1622456692503239,0.08391895624073427,0.6788898122861139,0.9870648549958763,0.462626984549683,0.08217445168628104,0.6672165289820224,0.7909575736792159
6,0.11248467692314258,0.09410098591675703,0.7024634500437993,0.9882631250034628,0.42862277566735624,0.08991227350071175,0.6915447717849028,0.8064516075892226
7,0.09517651654022881,0.106812579813859,0.7228951575983379,0.9882938494058777,0.403764160622005,0.10096817561476128,0.713460861243722,0.8199136510305911
8,0.2349207060160965,0.11290348542379587,0.7340940796702997,0.9155068081505827,0.3544156977314013,0.11426229243930112,0.731323799128335,0.8473456988547822
9,0.12427095885725033,0.13169195326340746,0.7472720363650903,0.9712723108701494,0.28008876957807377,0.1227764820829999,0.7405960195737349,0.889001781576504
10,0.11781319659008138,0.15701041895698525,0.7570480967764225,0.9810735252858248,0.34939200810923443,0.14754293868088741,0.7533700895061158,0.8509017058002607
11,0.29167111953396246,0.15689251011572122,0.7646571208768701,0.8622914535419056,0.24175631806939454,0.1691205813773005,0.7633591910016576,0.9095757998637751
12,0.29001479258635304,0.15659935421808804,0.7710595480321897,0.8694810539536217,0.1459155393216039,0.16570834766298434,0.7691473005415674,0.9603759212665882
13,0.7084670543403279,0.1352209349702235,0.76764326485913,0.6340676656435077,0.20722596040376406,0.16135385152967804,0.7744202511032614,0.9250698567859891
14,0.20144272461475402,0.12651670470261026,0.7669106660454885,0.9182105867160273,0.2525977673515742,0.12414559216662231,0.7647080188146363,0.8999238009527912
15,0.26649657008845484,0.14341565506344447,0.774926326042438,0.8993148338788481,0.09242726519896895,0.14046060434143526,0.772392724276134,0.9806959583640008
16,0.2710552734477394,0.16280873324254488,0.7819497313434108,0.906750232035302,0.05300517274544177,0.15928054453532103,0.7795933559063821,0.9890779881026801
17,0.26481210698227137,0.18146348498246817,0.7884488052701674,0.9227578580813514,0.03919387701685913,0.17776158656418733,0.7861425106616864,0.9898399784082321
