Epochs,val_loss,val_auprc,val_auroc,val_acc,loss,auprc,auroc,acc
0,0.7566323800178835,0.18216856601535147,0.7459627159635062,0.02021691704710134,1.04279054760475,0.22865480321928114,0.4863452932364504,0.24379000861421896
1,0.47364765343755594,0.11563110357468574,0.6365927459274521,0.9776016195516241,0.6875034750042133,0.13290556395252293,0.6313719013741624,0.5034571005348665
2,0.26063331518355765,0.09401125770245228,0.6153883420531385,0.9875564595065359,0.5892278414682298,0.1016436054081526,0.6129166888366435,0.7021767052889786
3,0.2781871562271905,0.08556029026668098,0.6173660994385503,0.9763111812722559,0.5372644120233465,0.08890824132478496,0.6132762111561246,0.736235611417382
4,0.36908416687502754,0.08397107452440765,0.6224071620305233,0.9122499776779497,0.48652322012239474,0.08802753342518276,0.6251868910123993,0.7746478756472335
5,0.2985845324348282,0.08376439991367465,0.6273750418667625,0.882508371654046,0.48626515566921114,0.08857059297503643,0.6249953461822871,0.7754161203716537
6,0.08926293048124605,0.09435462369820334,0.6497220286437508,0.9875564595065359,0.4441088654396629,0.08876506587378347,0.6352667737556633,0.8110115196884976
7,0.14296939600917546,0.10794104471970736,0.6701884766575392,0.9859587631108526,0.39859115688199426,0.0995768628222689,0.6576497144186237,0.8263764428726079
8,0.2197451659251304,0.1443752811367612,0.6960081446554289,0.9465081189624959,0.23322365048523902,0.13108383931896903,0.687151095625991,0.9175416180785273
9,0.16871528048414522,0.2012820744024948,0.7189469533361891,0.9522843871478658,0.14396790875820742,0.18203864701655093,0.7102600316995237,0.9633802900546339
10,0.1879800387427573,0.2504826191594481,0.738831466632889,0.934003132094391,0.08691836012081361,0.2365532588409248,0.7316793652869065,0.9854033194033956
11,0.18118182318001536,0.2888173436621871,0.7547384768776635,0.9325590700192228,0.046999305023998975,0.27979646373191963,0.7492680202373011,0.9933418612474058
12,0.22158529196359977,0.3150135100329201,0.7674679477727515,0.9140627338548781,0.024518520682191573,0.3128600217850352,0.7633749348863902,0.9976952681162904
13,0.22222176826369777,0.33548183151004496,0.7776112343692361,0.9183027599232718,0.0168727512534579,0.3324276796147399,0.7743827931096399,0.9974391999226373
14,0.15546040302786618,0.35982451162884144,0.7863073804563329,0.9541893246869988,0.01322485443452676,0.3517494211581544,0.7834472660065919,0.9982074406785024
15,0.3578233563455344,0.3692174296714298,0.7929562082941728,0.8743355719838878,0.01060970556992613,0.3769426755273235,0.7913678979904185,0.9989756701392493
16,0.23280830950027465,0.37675343137016404,0.7985647531424807,0.9290257204156553,0.007873105598320272,0.37311682120328066,0.7966227836706574,0.9989756718182533
