Epochs,val_loss,val_auprc,val_auroc,val_acc,loss,auprc,auroc,acc
0,0.07285611216088397,0.011342626836267748,0.4912372702733197,0.988140217726156,0.22913687013594825,0.010694470248141795,0.4746310840455509,0.8846209594393355
1,0.06667675377797226,0.0137896739926434,0.5605042191256018,0.988140217726156,0.07007156473758705,0.012791464754725179,0.5350327895267554,0.9878063210506592
2,0.09454120695476514,0.018013298967737873,0.6191969602035554,0.988140217726156,0.056472904099546216,0.01638367439192645,0.601145274134514,0.9881750290602388
3,0.10290459242920673,0.025779871299419218,0.6617542425857351,0.9881094933237411,0.043504851022824885,0.02259632507970336,0.6455645760130643,0.9897025299378998
4,0.09578701327012776,0.03975958297333655,0.6954134556944405,0.9868497781740061,0.0325543191516217,0.033318117828990516,0.6816144492043777,0.991532898231305
5,0.14053388104750622,0.07559474060818336,0.7224552140835262,0.9880480445189114,0.02299805664813165,0.05655214913289778,0.7111604056440154,0.9936924710636483
6,0.13768465052435694,0.1469396569200363,0.7419965111041291,0.9878944188441557,0.016858728327157995,0.11551970279067952,0.7339043070013834,0.9953384858027855
7,0.14710517984497004,0.21125431696879726,0.7569700040132192,0.9871877575886137,0.01242484860935782,0.18341604511129636,0.7504081931469716,0.9966816343929761
8,0.16092526528336587,0.26756482201867576,0.769012338352133,0.9879865956463221,0.009568603102062982,0.24340261397514523,0.7636668027570461,0.9972347007595104
9,0.1539915618956699,0.3118521407931969,0.7789528940531004,0.9853135403661745,0.007226077862542773,0.29139264248462315,0.7741539289828537,0.9978931085870713
10,0.1691899394031772,0.34956411172135926,0.7866008237371006,0.9877715230658369,0.006493008331584928,0.3324778227669773,0.7833552149660701,0.9981828065087801
11,0.1803701993944561,0.3826319088704224,0.7930817999323199,0.9878944188441557,0.004975850359424114,0.3681215507089774,0.7903211705608466,0.9985778534836691
