Epochs,val_loss,val_auprc,val_auroc,val_acc,loss,auprc,auroc,acc
0,0.08877502439992455,0.012589511007955766,0.5174972405282606,0.9875564595065359,0.0970705920441534,0.012685388603045631,0.5177731098877059,0.9788783399380075
1,0.08635933119389899,0.01515749804749405,0.5631221436053614,0.9875564595065359,0.06433875310725877,0.014283946992419612,0.5492548524883668,0.9880828503793759
2,0.09295295972776409,0.018985182941442948,0.601405771561664,0.9875564595065359,0.05858829319917596,0.01761679133930042,0.5889870641510672,0.9880828534490453
3,0.10514380945351229,0.024860530840624704,0.6344540316040265,0.9875564595065359,0.05288149862028511,0.022695472417191418,0.6227535707080536,0.9880828488794685
4,0.1257807163786448,0.03530973040468719,0.6641174212089422,0.9875564595065359,0.044540852914103306,0.03126444386055661,0.6530053844001822,0.9880960238912171
5,0.12817924234405012,0.053423044262524595,0.6902496480013649,0.9875564595065359,0.03580550808064676,0.045874214873379705,0.6796657503262636,0.9882013641709978
6,0.1299003317600081,0.08020192528754792,0.7114725135312335,0.9872799362221207,0.030251387001603455,0.06856196702428863,0.7024771883887332,0.9897025292927276
7,0.13926471627926604,0.12331260519553927,0.7298605371155922,0.9849755756700519,0.024357648793318476,0.10392777839197333,0.7214562004907352,0.9918489331129524
8,0.15639877280328382,0.1719627760928263,0.7438768233909223,0.9872799325594394,0.02211239122295212,0.153430951576857,0.7380628761118592,0.9926126842899634
9,0.1630510395390429,0.2193036877894162,0.7552303883539835,0.9867268904151282,0.016954556142301094,0.2000950724681182,0.7501830121754448,0.9943772089198639
10,0.17401578556880734,0.2649620323837578,0.7649957462181513,0.9870955898076315,0.011866718546646856,0.24546940181511243,0.7607751603364564,0.99610223656067
