Epochs,val_loss,val_auprc,val_auroc,val_acc,loss,auprc,auroc,acc
0,0.07861971131234607,0.012777600350585732,0.5358255297503215,0.9874642747526884,0.09342582350982187,0.011293551750793903,0.5118196923900628,0.9755336374958412
1,0.07143728085768516,0.017350968176406127,0.5982018092387201,0.9874642747526884,0.06110655557690393,0.015137953756212791,0.570557144759533,0.9884647282722919
2,0.08112464630295575,0.028039087608960688,0.6545676213898637,0.9874335503502735,0.050342437571010014,0.024333047854567334,0.6367270980856925,0.988517401058016
3,0.12845544726774544,0.05807700589856388,0.7021007947897286,0.9874335485189328,0.03332642893717514,0.045025703898685356,0.6851539053609069,0.989807878369454
4,0.11171725407175473,0.12604601172531799,0.7345613145929337,0.9849755731446331,0.021912466300559527,0.09590392295409052,0.7196231849484827,0.992849705780961
5,0.18200624634103407,0.21842720360227688,0.7565998030953441,0.9874642747526884,0.014162280802689048,0.17904769851371158,0.7479194468459878,0.9956281850846931
6,0.15288136078801745,0.2898682467647458,0.7713373442705163,0.9866654347958798,0.010361009076939853,0.2608287337656226,0.7648279387844059,0.9968791599591779
7,0.16042241539236007,0.3432784530484087,0.7825994080221407,0.9853135463711405,0.0076560506122578115,0.3198955271463847,0.7774278324823066,0.9973005382138218
8,0.18074650255599856,0.3862804477180457,0.7911124029503691,0.9866039878223907,0.005444119404716882,0.3665553605267181,0.7871897989967584,0.9982354782066591
9,0.192758541234987,0.42131161912174625,0.7973549914868426,0.9872492039357843,0.005007019556094977,0.40481841157060716,0.7944635858252079,0.9984329991569759
10,0.18289671801473592,0.4510598817256078,0.8023729244824008,0.9870648556221948,0.0034073108769807803,0.43805394303147066,0.8001875788335626,0.9988807165166381
11,0.19788723938865524,0.47328579667274034,0.806126597209889,0.9872799265068585,0.0048666348288916176,0.4635669123875115,0.8045415192639592,0.9983144884813315
