Epochs,val_loss,val_auprc,val_auroc,val_acc,loss,auprc,auroc,acc
0,0.0828370779228968,0.012467669754624999,0.5158196109067966,0.9872184800919283,0.11786526979364717,0.011449589884215641,0.5019083938218939,0.9597187315657458
1,0.07683940515291615,0.017033148982448267,0.5933402765180693,0.9872184800919283,0.062036004551982875,0.015400457644582947,0.5684527270826032,0.9881618586879215
2,0.12974391676615793,0.02650822742364015,0.6467907770762639,0.9872184800919283,0.05002472237203522,0.023014390193010992,0.6337064886499394,0.988175031142528
3,0.1286533938127754,0.04666556969507519,0.6919238258881273,0.9872184800919283,0.033546294055868224,0.037626116415256775,0.674174412729629,0.9882277047759235
4,0.19444110379184773,0.07442779277526908,0.7213732173949243,0.9872184800919283,0.02632322485807312,0.06206041305597555,0.710475309758072,0.9899527236503941
5,0.17742009499429995,0.10665580237273829,0.7422363559368382,0.9869419604701944,0.021016676730913068,0.09178746543305964,0.7336355484478048,0.9936002892197152
6,0.1707556150439522,0.15018209071501018,0.7570240886254541,0.9866347109520238,0.01776529227800979,0.12930972824618972,0.7511356571424522,0.9944430532285408
7,0.19805041417682337,0.22915621037713524,0.768141469241368,0.9872184800919283,0.012511322181734404,0.1962565211518498,0.7641835805465316,0.9965236207521536
8,0.1655746865754897,0.2867016600473585,0.7774017205413272,0.9854057191352007,0.010493053830630764,0.2621521591756391,0.7733536549222063,0.9969318316107489
9,0.17543695576565202,0.3338045780505329,0.7849716750726534,0.9850062963420259,0.007755935817081881,0.3145278826263907,0.7822661323535182,0.9976429112295897
10,0.1692434502934649,0.3723360137358625,0.7913435589341622,0.9846068791106325,0.005811592531512329,0.3558256821988344,0.7889168066387031,0.9982486493638574
11,0.1949588187593108,0.403446542169911,0.7962390319372273,0.9869726848726094,0.006128324557860927,0.3890092913645871,0.7944513890859449,0.9980774598565509
