Epochs,val_loss,val_auprc,val_auroc,val_acc,loss,auprc,auroc,acc
0,0.07736638363163588,0.012323617412418747,0.5105669877695943,0.9868497860579277,0.1012961932844378,0.011608178233074522,0.5028908495440501,0.9696211502686122
1,0.07507615521823506,0.014267299070576151,0.5533329596804281,0.9868497860579277,0.06621818943383927,0.013229824188432042,0.5347575336705314,0.9883330484518841
2,0.07271469644001487,0.016668641245452222,0.5911896792641762,0.9868190616555128,0.061244849494217074,0.01563722263660639,0.5758838264404776,0.9883462139516603
3,0.07673311454952486,0.019727329499741417,0.6239061143631451,0.9868190616555128,0.05700602185799003,0.01848625018265555,0.6114706104382319,0.9883462161665945
4,0.08314567875621483,0.023815214071777294,0.6508711200231165,0.9868190616555128,0.05220026945317385,0.02212137782058602,0.6414120561818406,0.9883330453822147
5,0.10158896454835328,0.030165346560364906,0.6739053417230805,0.986788337253098,0.046609744996174256,0.02729511101336636,0.6649055408339845,0.9883857188829653
6,0.11487159872223904,0.03971071530069503,0.6934046972166775,0.9868190616555128,0.04073296996930068,0.03570535985756595,0.6861457814354451,0.988635913536532
7,0.11299878320749056,0.05323711861853563,0.7110231049995465,0.9854057160988379,0.0353293116498587,0.04781403611834353,0.7039678164325944,0.9897288688098083
8,0.13089999948951964,0.07515013950965913,0.7269324661986042,0.9850370214385188,0.028505365977797417,0.06500418435538538,0.7205795826903575,0.9911246825700231
9,0.15986428857508952,0.1147812218315027,0.7399885562937369,0.9862352925156084,0.022121985366349208,0.09666089206824877,0.7351399809944248,0.9930472315802723
10,0.15617802612231463,0.1592357953110206,0.7511656722993306,0.9850370243393625,0.017126985125226885,0.14006485283069467,0.746550647461553,0.9943640426815147
