Epochs,val_loss,val_auprc,val_auroc,val_acc,loss,auprc,auroc,acc
0,0.06219136730571208,0.009617963739634907,0.536664710207392,0.9910374431462567,0.08907554523224871,0.010090218250908965,0.5362140263882044,0.9710669061322361
1,0.050094402388665284,0.011066938683258708,0.5747353000028352,0.9910098664233679,0.05206495924200283,0.010266075924010356,0.5561486458914767,0.991549358084835
2,0.05453671217967392,0.012932505748093895,0.6103639839159845,0.9910098664233679,0.049137215630349104,0.012144775983002912,0.5992355518084693,0.9915966361757218
3,0.08510037988307596,0.016399591814147796,0.6400635454798158,0.9910374431462567,0.04199544508296121,0.01507496450317705,0.6319955044345087,0.9916675494642277
4,0.07536593920947121,0.024546326137000474,0.672215298450195,0.9910098664233679,0.03147041411270444,0.021157342078207523,0.6595288986255694,0.9916557300108965
5,0.0763158443603258,0.03916516018781046,0.6994936406451312,0.9908995578880904,0.02517531018238212,0.03257407132389951,0.6885834309877225,0.9932867627863041
6,0.10813005059286866,0.06661279539514328,0.7219332066270535,0.9906789408175354,0.01764919912626014,0.05461862272236975,0.7132835018145752,0.9947168690170992
7,0.128463781438922,0.10835068699893564,0.7379047752912622,0.9910098664233679,0.014400572571226074,0.08838782407533859,0.7309946406903312,0.9955323931539914
8,0.13373310028632224,0.17961025689074409,0.7513575387023392,0.9910374431462567,0.009114877169892996,0.1460363108079467,0.7449621842676193,0.9973879889946284
9,0.12099607791857438,0.2372854611812283,0.7624207904430753,0.9904307483883807,0.006722436167194649,0.21202238937232368,0.757298444341687,0.9978843909806854
10,0.13412839110740776,0.2828619963436617,0.7714289527662367,0.9907892493528129,0.005858564882274079,0.26279675268996144,0.7676805598416345,0.9982035065510507
11,0.13675040594350352,0.3205722855572193,0.7783558681022903,0.990982289700479,0.005460514572921322,0.30302874756108195,0.7752010668418392,0.9982744237909383
