Epochs,val_loss,val_auprc,val_auroc,val_acc,loss,auprc,auroc,acc
0,0.049384005432961425,0.006031470264573539,0.5219402612841643,0.9941944820066553,0.07833357930770636,0.0062179935213580485,0.535279498978574,0.9709979628477554
1,0.04908977119034912,0.007144972691799045,0.5658456151561571,0.9930757072217579,0.036964615849588794,0.0067231434655662305,0.5486749838259212,0.994375830575381
2,0.0655700112364036,0.008903220201512222,0.6079977742559851,0.9941944820066553,0.03260746482825586,0.008179741640051403,0.5949561198364496,0.9943887865930962
3,0.08883168955875591,0.013145519402256596,0.6456210847257356,0.9941944820066553,0.024713449761751723,0.011326537560638983,0.6320357365901547,0.9945572563984185
4,0.08597008613081636,0.023720009634960633,0.6804396711834167,0.9941642453374064,0.016106117965333785,0.01841632035612235,0.6654098191268336,0.9953736674945194
5,0.08050184832851379,0.04245876618104536,0.7060974223722164,0.9941340086681576,0.012589149487209544,0.034005414837636805,0.6956867693368618,0.9965010951558875
6,0.08231903610463627,0.07009174761438519,0.7259066176547136,0.9939828235196444,0.010161133818857965,0.05666886349623884,0.7171440025272345,0.9968121103339045
7,0.09104269935053773,0.1167571431771101,0.7402252726036971,0.9941642453374064,0.008485273664682054,0.09320457389055567,0.7339044800219255,0.9976933187078169
8,0.09035006711148641,0.19584216327772777,0.7533349327177141,0.9941037719989089,0.0036812046542848195,0.16056887713506346,0.7472712707922421,0.9988596246598667
9,0.08373047516852018,0.2482546099471077,0.7633826013313841,0.9896891620145307,0.003859760929800236,0.22746726983192958,0.7590400800219944,0.9988337086048091
10,0.09203728136911661,0.28116814741692686,0.7707678692376608,0.9939828181128371,0.0057106596236961285,0.2637984045458629,0.7674131432980064,0.9982375966210659
