Epochs,val_loss,val_auprc,val_auroc,val_acc,loss,auprc,auroc,acc
0,0.03829633197400234,0.005859108522681255,0.5129961138712823,0.9941944820066553,0.06605728880683812,0.010709199696871313,0.489903916668215,0.9810670342431099
1,0.04101716806616699,0.007002618249544507,0.5563205662532653,0.9941944820066553,0.035520142910744415,0.006588599781927585,0.5430647557003945,0.9945313364813058
2,0.038884130810501426,0.009561251871464446,0.6017467928324913,0.9941944820066553,0.030939122069002022,0.008393042868312382,0.5839144102442635,0.9945572570518784
3,0.04444891401018225,0.015559958472909216,0.6483560588317155,0.9941944820066553,0.024682239547513023,0.013053977607201365,0.6292783997875987,0.9945572552591122
4,0.20325291664287787,0.019862803084893854,0.6870874637097164,0.9383768756636457,0.016950193777616095,0.023159422293521286,0.6707403154671443,0.9950367345976715
5,0.06108782846790598,0.021202672648693723,0.7100913741909253,0.990203195801667,0.019043322079944167,0.018341387695835716,0.6978295182567541,0.9944924602599133
6,0.07364106552738896,0.05766416440281276,0.7363684288130097,0.9922593099429634,0.005646753269822373,0.03708686722842206,0.725433182739233,0.9977581124101376
7,0.09263919630452211,0.12733047205754738,0.7532030553216801,0.9941642453374064,0.004909469306116841,0.0959022057351179,0.7460734981449761,0.9983801426472202
8,0.07813142954489467,0.16932129941747334,0.7627633401144513,0.98926584003741,0.008139594464210795,0.1537704230701171,0.7586316328139417,0.997706279398619
9,0.08632382187128504,0.2143504263289781,0.7723148747175629,0.9938618768426492,0.0048147831772618185,0.19279390881423258,0.7680393918742954,0.998509732893562
10,0.08860152603126387,0.255220661430931,0.7797864885161796,0.9936502147511,0.004128997733130857,0.23537366115010486,0.7763799297908006,0.9987689119317955
