Epochs,val_loss,val_auprc,val_auroc,val_acc,loss,auprc,auroc,acc
0,0.052416863086861824,0.006072032223011799,0.5112255361412364,0.9942549531391754,0.053966764274144166,0.006451796956200499,0.5123335464336516,0.9867819132513146
1,0.08455296399285382,0.009376094678356471,0.5887587231083313,0.9942549531391754,0.033784195604849535,0.008401919521192689,0.5682964840242043,0.9941555277199193
2,0.06802681188631206,0.018447566016459586,0.6390867518323253,0.9942549531391754,0.02754549920837094,0.01535842955070554,0.6221339353229227,0.9941296117838132
3,0.08939132381349542,0.06993225482159555,0.6813270468237784,0.9942549531391754,0.018987330388101707,0.053913021588709545,0.6639422822420642,0.9953218344443803
4,0.09251095799807627,0.1586605377160067,0.7132081687738772,0.9942549531391754,0.011370199433651376,0.12707116239404606,0.7002587948429773,0.9967861937443385
5,0.08946781666128457,0.2213183662736537,0.7344077886967597,0.9942549531391754,0.010806713894134552,0.19673623235095264,0.7248894760896226,0.9969935366814091
6,0.08626740473044571,0.2901504382988538,0.75175458538861,0.9942247164699266,0.005436244021328463,0.2612746247733347,0.7438255324624722,0.9984060625643331
7,0.08944182306794828,0.3392881933738485,0.7643580096726493,0.9942549531391754,0.005216449299110481,0.31847725069403754,0.7585350709196486,0.9983153467466176
8,0.09095877744068212,0.3820847085220663,0.7747555084429216,0.9942549531391754,0.0036318434731448038,0.3617864705051867,0.7695528680632772,0.9990021706860209
9,0.08350236438296782,0.41122764480188956,0.7822879350554499,0.9941944798006779,0.005179853657700745,0.39751588958580525,0.7782819028372917,0.9984967752924042
10,0.08871154662719097,0.4396647128020154,0.789082455055461,0.9941642413291599,0.0028534956436094662,0.4258574758692493,0.7854223210937951,0.9991058422735075
